album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_l95_rank,Primary Genre
Metallica-Master-of-Puppets,0,0,NaN,59,0,0,401,Thrash Metal
Ministry-Psalm-69,0,0,NaN,67,0,0,401,Industrial
Ministry-The-Mind-Is-a-Terrible-Thing-to-Taste,0,0,NaN,21,0,0,401,Industrial
Mirrorthrone-Carriers-of-Dust,0,0,NaN,254,0,0,401,Black Metal
Moonsorrow-Kivenkantaja,0,0,NaN,127,0,0,401,Folk
Moonsorrow-Voimasta-Ja-Kunniasta,0,0,NaN,39,0,0,401,Folk
Moonspell-Wolfheart,0,0,NaN,40,0,0,401,Gothic
Motorhead-Inferno,0,0,NaN,28,0,0,401,Heavy Metal
Motorhead-Iron-Fist,1,1,1,31,0.03225806451612903,0,401,Heavy Metal
Mr.-Bungle-Disco-Volante,1,1,1,384,0.0026041666666666665,0,401,Experimental
Mudvayne-L.D.-50,0,0,NaN,1113,0,0,401,Nu-metal
My-Dying-Bride-The-Angel-and-the-Dark-River,1,1,1,114,0.008771929824561403,0,401,Doom Metal
My-Dying-Bride-The-Dreadful-Hours,0,0,NaN,112,0,0,401,Doom Metal
Napalm-Death-From-Enslavement-to-Obliteration,0,0,NaN,6,0,0,401,Grind
Nasum-Shift,0,0,NaN,38,0,0,401,Grind
Negura-Bunget-OM,0,0,NaN,124,0,0,401,Black Metal
Nevermore-Dreaming-Neon-Black,0,0,NaN,6,0,0,401,Thrash Metal
Nevermore-This-Godless-Endeavor,1,1,1,277,0.0036101083032490976,0,401,Thrash Metal
Norma-Jean-Polar-Similar,0,0,NaN,578,0,0,401,Metalcore
Obituary-Slowly-We-Rot,0,0,NaN,193,0,0,401,Death Metal
Om-Conference-of-the-Birds,0,0,NaN,67,0,0,401,Psychedelic
Opeth-Lamentations,0,0,NaN,35,0,0,401,Progressive Metal
Ozzy-Osbourne-Blizzard-of-Ozz,0,0,NaN,195,0,0,401,Heavy Metal
Ozzy-Osbourne-Diary-of-a-Madman,0,0,NaN,62,0,0,401,Heavy Metal
Ozzy-Osbourne-Tribute,0,0,NaN,29,0,0,401,Heavy Metal
Pain-of-Salvation-Remedy-Lane,0,0,NaN,116,0,0,401,Progressive Metal
Pain-of-Salvation-The-Perfect-Element-Part-1,0,0,NaN,167,0,0,401,Progressive Metal
Pantera-Official-Live-101-Proof,0,0,NaN,40,0,0,401,Metal
Pantera-Reinventing-Hell-The-Best-of-Pantera,0,0,NaN,12,0,0,401,Metal
Pelican-The-Fire-in-Our-Throats-Will-Beckon...,1,1,1,254,0.003937007874015748,0,401,Post Metal
Periphery-Periphery-Instrumental,0,0,NaN,54,0,0,401,Progressive Metal
Plini-Sweet-Nothings,0,0,NaN,1,0,0,401,Progressive Metal
Poison-the-Well-The-Opposite-of-December,0,0,NaN,625,0,0,401,Metalcore
Poison-the-Well-You-Come-Before-You,0,0,NaN,492,0,0,401,Metalcore
Porcupine-Tree-Anesthetize,0,0,NaN,51,0,0,401,Progressive Rock
Porcupine-Tree-Arriving-Somewhere...,0,0,NaN,28,0,0,401,Progressive Rock
Porcupine-Tree-Deadwing,0,0,NaN,73,0,0,401,Progressive Rock
Porcupine-Tree-Lightbulb-Sun,0,0,NaN,235,0,0,401,Progressive Rock
Porcupine-Tree-Stupid-Dream,0,0,NaN,36,0,0,401,Progressive Rock
