album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_comment_user,avg_date,m_over_xM,m_over_xM_rank,Primary Genre
Iced-Earth-Night-of-the-Stormrider,21,19,1.105263157894737,455,0.046153846153846156,0.03163597691577419,0.03013259542332798,2014-08-30,7.289669082385771,87,Thrash Metal
Kalmah-Swamplord,10,10,1,99,0.10101010101010101,0.05801530945409938,0.0276302933689797,2017-06-16,7.26460095647101,88,Melodic Death Metal
Overkill-Ironbound,13,7,1.8571428571428572,95,0.1368421052631579,0.08575625387696606,0.061650670302468305,2012-10-28,7.143186321265512,89,Thrash Metal
Gris-%C3%80-l%E2%80%99%C3%82me-Enflamm%C3%A9e-l%E2%80%99%C3%84me-Constell%C3%A9e%E2%80%A6,17,15,1.1333333333333333,484,0.03512396694214876,0.022916787445550695,0.020741338396288504,2014-04-30,6.961192216196364,90,Black Metal
Peste-Noire-La-Sanie-des-siecles---Panegyrique-de-la,14,12,1.1666666666666667,247,0.05668016194331984,0.03541145374130758,0.02883722374434549,2012-10-14,6.8772057351466644,91,Black Metal
Deathspell-Omega-Fas---Ite-Maledicti-In-Ignem-Aeternum,14,14,1,248,0.056451612903225805,0.03526643972283683,0.030556025629956345,2014-09-21,6.422105643770826,92,Black Metal
Accept-Restless-and-Wild,10,9,1.1111111111111112,64,0.15625,0.09154239151929561,0.05704224045555723,2012-09-30,6.349296610844338,93,Heavy Metal
Rotting-Christ-Theogonia,12,12,1,114,0.10526315789473684,0.06394922102758,0.04987561841658753,2011-09-23,6.314179500509021,94,Black Metal
Electric-Wizard-Dopethrone,32,31,1.032258064516129,1289,0.02482544608223429,0.018316824630934134,0.01995258768347179,2013-03-17,6.281114476004862,95,Doom Metal
Judas-Priest-Painkiller,48,48,1,1390,0.034532374100719423,0.027054009091198917,0.03001464916869591,2014-04-25,6.279637655512685,96,Heavy Metal
Opeth-Ghost-Reveries,45,35,1.2857142857142858,1119,0.040214477211796246,0.031263204534284654,0.03463551895380061,2017-05-24,6.242854290697114,97,Progressive Metal
Ulcerate-The-Destroyers-of-All,35,28,1.25,987,0.03546099290780142,0.026579132063781034,0.029199635230854646,2014-06-08,6.179960027146467,98,Death Metal
Demigod-Slumber-of-Sullen-Eyes,19,19,1,426,0.04460093896713615,0.029915530798317675,0.030178189685470355,2013-08-06,6.144091193989628,99,Death Metal
Every-Time-I-Die-Low-Teens,16,16,1,445,0.035955056179775284,0.023120686167344175,0.02221276971653377,2016-10-06,6.115317476142474,100,Metalcore
Motorhead-Ace-of-Spades,11,11,1,203,0.054187192118226604,0.031548893028846614,0.025276901233045677,2013-01-28,5.8687890496917285,101,Heavy Metal
Iron-Maiden-The-Number-of-the-Beast,49,42,1.1666666666666667,1448,0.03383977900552486,0.02657904390956651,0.02982053055842502,2014-08-23,5.819871751400568,102,Heavy Metal
Coroner-Punishment-for-Decadence,12,12,1,173,0.06936416184971098,0.04167061198694502,0.03641283777985637,2013-07-13,5.700579064084847,103,Thrash Metal
Moonsorrow-Verisakeet,19,15,1.2666666666666666,450,0.042222222222222223,0.028305403097469678,0.029577589419879913,2014-07-11,5.69008476105404,104,Folk
Riverside-Second-Life-Syndrome,8,6,1.3333333333333333,93,0.08602150537634409,0.04542000647068184,0.026108134862716677,2014-11-29,5.5719434577673495,105,Progressive Rock
Atheist-Unquestionable-Presence,50,45,1.1111111111111112,1860,0.026881720430107527,0.021150513031085335,0.02391897251823351,2013-11-21,5.510711116085675,106,Death Metal
Insect-Warfare-World-Extermination,9,9,1,349,0.025787965616045846,0.013858736227434896,0.010756085209783444,2012-10-11,5.246126261785578,107,Grind
Deicide-Deicide,23,21,1.0952380952380953,652,0.0352760736196319,0.02457560604008318,0.027315488555467733,2013-12-30,5.190301461835037,108,Death Metal
Testament-The-Gathering,7,7,1,91,0.07692307692307693,0.038302484367788076,0.021292397497915706,2013-07-31,5.062391827689671,109,Thrash Metal
Paradise-Lost-Icon,9,9,1,128,0.0703125,0.038508543109056534,0.0316461715505955,2014-09-21,4.949290041523776,110,Doom Metal
Incantation-Mortal-Throne-of-Nazarene,13,8,1.625,245,0.053061224489795916,0.03245296727699094,0.0329171759259569,2014-07-20,4.935291898140559,111,Death Metal
Sodom-Persecution-Mania,11,11,1,183,0.060109289617486336,0.03506807911048848,0.03356526346504037,2014-01-08,4.857556785897612,112,Thrash Metal
Electric-Wizard-Come-My-Fanatics...,13,13,1,248,0.05241935483870968,0.03205432443036832,0.032846057680116066,2013-10-14,4.854177695331217,113,Doom Metal
Summoning-Minas-Morgul,14,14,1,362,0.03867403314917127,0.024041788670990556,0.025572640851165594,2014-04-09,4.742704011878055,114,Black Metal
Darkthrone-Under-a-Funeral-Moon,11,10,1.1,223,0.04932735426008968,0.02867137093411354,0.0280864554898304,2016-09-03,4.736720425767819,115,Black Metal
Pestilence-Malleus-Maleficarum,12,12,1,295,0.04067796610169491,0.0242163864803055,0.024813120279118316,2014-07-20,4.680129517660096,116,Death Metal
Decapitated-Winds-of-Creation,16,16,1,459,0.034858387799564274,0.022409372559684615,0.024671365669154774,2012-05-05,4.67584315785796,117,Death Metal
Orphaned-Land-Mabool-The-Story-of-the-Three-Sons...,7,7,1,90,0.07777777777777778,0.038746283334643146,0.02702081839826691,2012-11-02,4.568126344155979,118,Folk
Overkill-Horrorscope,9,8,1.125,115,0.0782608695652174,0.043003341126630935,0.040845156649130104,2014-05-10,4.302806985350038,119,Thrash Metal
